Afghan Hound,165,120,45
Airedale Terrier,108,84,24
Akbash Dog,16,14,2
Akita,568,439,129
Alapaha Blue Blood Bulldog,12,9,3
Alaskan Klee Kai,2,1,1
Alaskan Malamute,243,207,36
American Bandogge,1,1,0
American Bulldog,211,183,28
American Eskimo,86,71,15
American Foxhound,2,2,0
American Hairless Terrier,5,4,1
American Pit Bull Terrier,913,798,115
American Staffordshire Terrier,716,610,106
American Tunnel Terrier,3,2,1
American Water Spaniel,7,6,1
Anatolian Shepherd Dog,34,28,6
Australian Cattle Dog,199,158,41
Australian Kelpie,6,5,1
Australian Shepherd,693,570,123
Australian Terrier,17,14,3
Azawakh,1,1,0
Barbet (fr. Waterdog),1,1,0
Basenji,176,121,55
Basset Hound,37,32,5
Beagle,77,61,16
Bearded Collie,50,29,21
Beauceron,45,41,4
Bedlington Terrier,21,19,2
Belgian Lakenois,7,7,0
Belgian Malinois,410,384,26
Belgian Sheepdog,505,408,97
Belgian Tervuren,508,412,96
Berger Picard,21,20,1
Bernese Mountain Dog,189,163,26
Bichon Frise,30,23,7
Black Russian Terrier,142,134,8
Bloodhound,40,30,10
Blue Mountain Shepherd,1,1,0
Boerboel,42,40,2
Bolognese,1,1,0
Border Collie,305,251,55
Border Terrier,134,122,12
Borzoi,108,97,11
Boston Terrier,75,64,11
Bouvier Des Flandres,917,782,135
Boxer,466,391,76
Boykin Spaniel,2,2,0
Briard,381,311,70
Brittany Spaniel,121,110,11
Brussels Griffon,12,11,1
Bull Terrier,81,75,7
"Bull Terrier, Miniature",13,13,0
Bulldog,141,101,40
Bullmastiff,148,120,28
Cairn Terrier,51,38,13
Canaan Dog,8,5,3
Cane Corso,192,166,27
Cao De Fila De Sao Miguel,3,2,1
Cardigan Welsh Corgi,77,62,15
Carolina Dog,3,2,1
Catahoula Leopard Dog (louisiana),14,11,3
Caucasian Ovcharka,17,14,3
Cavalier King Charles Spaniel,60,51,9
Central Asian Shepherd,24,22,2
Chart Polski,1,1,0
Chesapeake Bay Retriever,121,136,15
Chihuahua,46,32,14
Chinese Crested,34,26,8
Chinese Shar-pei,214,152,62
Chinook,9,7,2
Chow Chow,99,71,28
Clumber Spaniel,13,11,2
Cocker Spaniel,233,190,42
Collie,888,716,172
"Coonhound, Black And Tan",15,15,0
"Coonhound, Bluetick",2,2,0
"Coonhound, Redbone",5,5,0
"Coonhound, Treeing Walker",8,5,3
Curly-coated Retriever,178,163,15
Czechoslovakian Vlcek,1,1,0
Dachshund (miniature Longhaired),33,30,3
Dachshund (miniature Smooth),41,32,9
Dachshund (miniature Wirehaired),24,20,4
Dachshund (standard Longhair),35,26,9
Dachshund (standard Smooth),48,33,15
Dachshund (standard Wirehaired),31,26,5
Dalmatian,358,291,59
Dandie Dinmont Terrier,7,5,2
Doberman Pinscher,1,1,359
Dogo Argentino,18,16,2
Dogo Canario,3,3,0
Dogue De Bordeaux,97,75,22
Dutch Shepherd,24,22,1
English Bulldog,3,3,0
English Bull Terrier,4,4,0
English Cocker Spaniel,75,70,5
English Foxhound,3,2,1
English Jack Russell Terrier,4,4,0
English Mastiff,8,8,0
English Pitbull,1,0,1
English Pointer,1,1,0
English Setter,31,25,6
English Shepherd,26,25,1
English Springer Spaniel,159,135,24
Entelbucher Mountain Dog,1,0,1
Estrela Mountain Dog,1,1,0
Field Spaniel,14,12,2
Fila Brasileiro,14,11,3
Finnish Lapphund,8,5,3
Finnish Spitz,11,8,3
Flat-coated Retriever,88,80,7
"Fox Terrier, Smooth",56,43,13
"Fox Terrier, Wire",19,16,3
French Bulldog,46,44,2
German Pinscher,34,31,3
German Shepherd Dog,3,2,494
